host,n,p50_ms,p90_ms,p95_ms,p99_ms,mean_ms,std_ms,min_ms,max_ms,throughput_msg_s,duration_s
3134e91d,2696,6065.68,6661.6035,6810.486,7169.144550000002,5703.040399109793,1518.1511653197135,66.35000000000001,7981.552,28.88086643307406,93.34899997711182
499b6435,2609,6039.731,6595.657000000002,6745.4168,6967.372039999999,5800.0910774243,1222.390644263685,264.127,7455.530000000001,28.305469106952593,92.1729998588562
49f1bd74,2555,6055.9890000000005,6632.96,6789.0773,7054.66246,5918.857038356165,946.3176985730887,862.563,7574.436000000001,28.06674502888109,91.0329999923706
534bf1a3,2545,6070.516,6635.062,6799.7604,6995.502439999999,5942.883665618861,926.823994249731,480.609,7577.159,28.14300406012358,90.43099999427795
6c2fa1c5,2388,6122.7135,6741.0845,6923.7376,7240.2561,5979.449744137353,988.8053438573174,609.45,7842.023,26.427622872646836,90.35999989509583
808ac0a2,2606,5919.5145,6509.5515,6693.70125,6994.473699999999,5492.236128933231,1599.6713428407313,66.245,7679.342000000001,27.897018620275322,93.4150002002716
8cf75277,2323,5956.848,6586.7118,6804.346800000002,7453.3257,5862.307970297029,935.8572050043933,600.0830000000001,8259.865,25.684401395924912,90.44400000572205
abb5ed51,2495,6120.559,6694.847599999999,6868.071099999999,7261.4007599999995,5981.501808416834,971.8684324376787,576.374,8077.914,27.29430812085615,91.41100001335144
cdff9f7d,2553,6022.098,6579.6646,6753.3994,7611.616440000001,5679.02680493537,1465.7476742785943,169.13500000000002,8985.521999999999,27.513740716128527,92.78999996185303
e238cf2f,2529,5988.498,6592.2218,6765.4964,7020.49,5783.286130881772,1144.6075408174609,309.116,7523.037,27.394737723318137,92.31699991226196
