host,n,p50_ms,p90_ms,p95_ms,p99_ms,mean_ms,std_ms,min_ms,max_ms,throughput_msg_s,duration_s
3c12afc9,6378,6092.584,15807.6865,22557.151549999984,28339.09838,7831.086793822516,5293.10548162034,57.827999999999996,29431.175,29.140985150792815,218.86700010299683
3ced8d4e,6269,6164.451,14067.098999999997,20989.80419999999,25716.217559999994,7723.08778497368,4716.63754952321,81.069,28530.055,28.887936535391532,217.0110001564026
40d6d00e,6130,6100.5650000000005,15003.222500000005,22784.9182,29497.72688,7899.5324166394785,5471.895208291199,59.509,30681.267,27.908543759299526,219.64599990844727
5ee3145c,5999,6161.029,15852.514799999997,22768.2045,28656.458219999964,7989.411499416569,5351.206760389797,125.10199999999999,29868.867000000002,27.532114677096683,217.89100003242493
64bbae9d,6295,6110.726,14260.77880000002,22533.959399999996,28368.54163999999,7789.743810643368,5218.297003452192,61.007,29732.106000000003,28.72212765366871,219.1690001487732
9079b7b0,6008,6081.6965,16097.143300000002,21708.655799999997,27530.532660000004,7858.532156125166,5229.913053016833,57.866,29405.037,27.45284397681763,218.84800004959106
95140c47,6208,6079.6415,16000.017400000004,23551.988799999992,29697.854190000002,7944.387009664949,5580.266415567558,59.95,30560.154000000002,28.28903300240756,219.44899988174438
ca5e8f24,6227,6084.029,16403.485200000003,25931.048300000002,30698.73136,8142.781360526738,6073.707588666067,348.54200000000003,31150.957,28.525357663910548,218.29699993133545
e896afe9,6153,6133.527,14811.400000000007,22134.5624,27638.056639999984,7852.5297844953675,5230.516211768509,59.128,29637.646,28.140220899613997,218.65499997138977
f6b666d7,6135,6126.33,14720.313600000007,23895.1242,29755.145159999996,7950.091756316218,5551.16399784976,59.956,30510.483,28.002957755482548,219.08400011062622
