====================================================================================================
Scenario stats (kernel RTT p99, app p99 mean, throughput mean)
====================================================================================================
file                                                              | ker p99(ms) | app p99(ms) |  thr(msg/s) | steps
logs/prev/eda_rl_bc_run3_online.jsonl                             |     2255.67 |    22690.63 |      166.61 | 96
logs/prev/eda_rl_bc_run3_shadow.jsonl                             |      112.09 |    37155.57 |        0.62 | 156
logs/prev/eda_rl_bc_run_new_online.jsonl                          |     2915.28 |    21091.92 |      160.57 | 415
logs/prev/eda_rl_new_20250917_001914_online.jsonl                 |      127.73 |    12977.59 |        2.22 | 44757
logs/prev/eda_rl_online_applied_new.jsonl                         |     2865.72 |    22893.96 |      160.46 | 103
logs/prev/eda_rl_run_20250916_192728*online.jsonl                 |     3208.26 |    38738.86 |      158.01 | 657
logs/prev/eda_rl_run_20250916_192728_online.jsonl                 |     2607.79 |    19810.01 |      181.81 | 1846
logs/prev/eda_rl_run_20250916_192728_online_applied.jsonl         |     2790.10 |    25084.83 |      162.01 | 96
logs/prev/eda_rl_tailbetter_110707_online.jsonl                   |     3613.56 |    21038.62 |       13.52 | 646
logs/prev/eda_rl_tailfocused_112555_online.jsonl                  |     2161.62 |    26553.37 |       30.54 | 254
logs/prev/eda_rl_tailrefine_113422_online.jsonl                   |     3362.99 |    38972.60 |       27.87 | 465
logs/prev/eda_rl_tailrefine_noshield_114648_online.jsonl          |      255.27 |     9919.16 |        2.41 | 1823
logs/prev/eda_rl_tailrefine_noshield_125101_online.jsonl          |     2366.81 |    13636.13 |       17.22 | 1061
logs/rl/all_dyn.jsonl                                             |      704.83 |      888.42 |      195.25 | 1285
logs/rl/auto_rule_online.jsonl                                    |       22.20 |      643.19 |      423.53 | 109
logs/rl/auto_shadow.jsonl                                         |      911.53 |      742.40 |      189.85 | 310
logs/rl/auto_torch_online.jsonl                                   |       23.08 |      498.10 |      321.98 | 70
logs/rl/auto_val_shadow.jsonl                                     |       12.52 |      210.01 |      178.37 | 68
logs/rl/dyn_nonzero.jsonl                                         |         nan |         nan |         nan | 0
logs/rl/dyn_rule_hard.jsonl                                       |     1197.52 |     4499.09 |      192.51 | 284
logs/rl/dyn_rule_online2.jsonl                                    |     2205.68 |    22039.32 |      326.90 | 217
logs/rl/dyn_rule_run1.jsonl                                       |      704.83 |      888.42 |      195.25 | 1285
logs/rl/dyn_torch_online.jsonl                                    |      658.37 |     1359.44 |      195.08 | 173
logs/rl/dyn_torch_online2.jsonl                                   |      293.10 |     2547.87 |      106.24 | 130
logs/rl/it_193918_F160_D0.06_H10_shadow.jsonl                     |        3.44 |        9.63 |      189.00 | 88
logs/rl/train_next.jsonl                                          |      732.00 |      734.19 |      188.13 | 725
logs/rl/tuned_torch_online.jsonl                                  |       19.72 |       75.90 |      584.36 | 132
logs/rl/val_bc_dyn_shadow.jsonl                                   |      698.89 |      829.58 |      188.51 | 347
logs/torch_model_experiments/congestion/rl_bc_v2_congestion.jsonl |      453.78 |      865.72 |       92.58 | 128
logs/torch_model_experiments/dynamic/rl_bc_v2_dynamic.jsonl       |      860.03 |      827.81 |      114.33 | 410
logs/torch_model_experiments/dynamic/rl_bc_v2_dynamic_enhanced.jsonl |      860.03 |      827.81 |      114.33 | 410
logs/torch_model_experiments/normal/rl_torch_normal.jsonl         |        3.11 |     1015.43 |      195.34 | 524
