label,hosts,n,p50_ms,p90_ms,p95_ms,p99_ms,mean_ms,std_ms,min_ms,max_ms,throughput_msg_s,duration_s
baseline,10,61802,6113.869500000001,15261.397400000007,22621.257999999994,29064.716269999997,7897.480719928158,5382.002954255886,57.827999999999996,31150.957,282.60212107448154,218.85750007629395
ours,10,49901,6057.063,6649.845,6824.335999999999,7145.791,5943.436914490692,993.7358183810367,55.218,8392.785,264.5689765853236,188.75999999046326
